CODE, DESCRIPTION ,Brand,MODEL,CATEGORY,SUB_CATAGORY,START_YEAR,END_YEAR,OEM,PCS,NW,GW,M3,PRICE,MODE_SERIES,FRONT_BACK,LOCATION,REVIEWS,YEARS_ACCEPTED,IMAGE_NAME,unique_id
IZIF047 LA,INNER FENDER W/ MOULDING LH 4WD,Isuzu,D-MAX,Exterior Body Panels,Inner Fender,2007,2007,8-98007-132-3,20,8.831746822,9.684785767,0.056368492,139.09,4.0,Front,Left,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}]",[2007],,1020
IZIF047 LA,INNER FENDER W/ MOULDING LH 4WD,Isuzu,MU7,Exterior Body Panels,Inner Fender,2007,2007,8-98007-132-3,20,8.831746822,9.684785767,0.056368492,139.09,4.0,Front,Left,"[{""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}]",[2007],,1021
IZIF047 RA,INNER FENDER W/ MOULDING RH 4WD,Isuzu,D-MAX,Exterior Body Panels,Inner Fender,2007,2007,8-98007-131-3,20,8.895587351,10.86032795,0.050940581,147.34,4.0,Front,Right Side,"[{""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}, {""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}]",[2007],,1022
IZIF047 RA,INNER FENDER W/ MOULDING RH 4WD,Isuzu,MU7,Exterior Body Panels,Inner Fender,2007,2007,8-98007-131-3,20,8.895587351,10.86032795,0.050940581,147.34,4.0,Front,Right Side,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}]",[2007],,1023
IZB030 NB,F.BUMPER PP/BK W/O HOLE,Isuzu,DRAGON,Bumpers and Grilles,Bumper,2000,2000,8-97940-908-2,1,3.882005746,4.441405815,0.049151077,382.64,3.0,Rear,Single Part,"[{""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}, {""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}]",[2000],,1024
IZB030 NA,F.BUMPER PP/BK W/O HOLE,Isuzu,DRAGON EYE,Bumpers and Grilles,Bumper,2000,2000,8-97940-740-2,1,4.097457322,4.141394443,0.05886142,170.26,3.0,Rear,Single Part,"[{""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}]",[2000],,1025
IZLP030 NA,LICENSE PLATE LAMP,Isuzu,DRAGON EYE,Accessories and Ornamental,License Plate,2001,2001,8-97910-608-3,400,3.637819439,4.421319096,0.049419673,24.76,3.0,Rear,Single Part,"[{""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}, {""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}]",[2001],,1026
UR90-51-W30E9,2FENDER FLARE FRONT LH SILVER,Ford,DURATORQUE,Accessories and Ornamental,Fender Flare,2006,2008,UR90-51-W30E92,1,5.365726349,12.57595653,0.445840926,107.11,,Front,Center,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}]","[2006, 2007, 2008]",,1027
UR87-50-0U0B,BUMPER BRACKET LH,Ford,DURATORQUE,Bumpers and Grilles,Bumper Bracket,2006,2009,UR87-50-0U0B,1,0.276552123,0.207729059,0.011500384,96.44,,Back,Lower,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}, {""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}]","[2006, 2007, 2008, 2009]",,1028
UD2D-50-0U0,BUMPER BRACKET LH,Ford,DURATORQUE,Bumpers and Grilles,Bumper Bracket,2009,2010,UD2D-50-0U0,1,0.260958055,0.251628552,0.00112287,143.52,,Back,Lower,"[{""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}, {""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}, {""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}]","[2009, 2010]",,1029
UR87-50-0T1B,BUMPER BRACKET RH,Ford,DURATORQUE,Bumpers and Grilles,Bumper Bracket,2006,2009,UR87-50-0T1B,1,0.255279164,0.265356177,0.000974873,74.33,,Back,Lower,"[{""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}, {""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}, {""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}]","[2006, 2007, 2008, 2009]",,1030
UD2D-50-AC0,BUMPER SUPPORT METAL LH,Ford,DURATORQUE,Bumpers and Grilles,Bumper Bracket,2009,2010,UD2D-50-AC0,1,1.5509647,1.587672441,0.020694789,145.95,,Back,Lower,"[{""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}]","[2009, 2010]",FORD_RANGER_'2009_DURATORQ_BUMPER_SUPPORT_METAL_.jpeg,1031
UD2D-50-AB0,BUMPER SUPPORT METAL RH,Ford,DURATORQUE,Bumpers and Grilles,Bumper Bracket,2009,2010,UD2D-50-AB0,1,1.511624222,1.646849865,0.023441809,141.12,,Back,Lower,"[{""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}, {""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}]","[2009, 2010]",FORD_RANGER_'2009_DURATORQ_BUMPER_SUPPORT_METAL_.jpeg,1032
FDMC035 SA,DOOR MIRROR COVER CP,Ford,DURATORQUE,Mirrors and Windows,Mirrors,2006,2009,4Y5D-RZVL3-SI,1,0.590230049,0.783250553,0.014253117,277.67,3.0,Front,Center,"[{""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}]","[2006, 2007, 2008, 2009]",,1033
FDMR037 LA,DOOR MIRROR LH ELECTRIC BK W/LED 5 CORD RHD,Ford,DURATORQUE,Mirrors and Windows,Door Mirror,2008,2012,UB9F-69-180,10,11.85830742,13.35530958,0.16182621,120.74,3.0,Front,Right Side,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}]","[2008, 2009, 2010, 2011, 2012]",FORD_RANGER_'2009_DURATORQ_DOOR_MIRROR_ELECTRIC_CP_WLED_5_CORD.jpeg,1034
FDMR035 LC,DOOR MIRROR LH ELECTRIC BK W/LED LHD,Ford,DURATORQUE,Mirrors and Windows,Door Mirror,2008,2012,UB9F-69-180LHD,1,1.462343272,1.587322879,0.015199397,246.21,3.0,Front,Right Side,"[{""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}, {""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}, {""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}]","[2008, 2009, 2010, 2011, 2012]",,1035
FDMR035 LB,DOOR MIRROR LH ELECTRIC CP RHD,Ford,DURATORQUE,Mirrors and Windows,Door Mirror,2006,2008,UR57-69-180C,10,14.02305335,13.98210167,0.165584044,54.16,3.0,Front,Right Side,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}, {""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}]","[2006, 2007, 2008]",,1036
FDMR037 LD,DOOR MIRROR LH ELECTRIC CP W/LED 5 CORD LHD,Ford,DURATORQUE,Mirrors and Windows,Door Mirror,2008,2012,UB9D-69-180LHD,10,11.62099729,13.82263479,0.143490851,274.04,3.0,Front,Right Side,"[{""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}, {""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}, {""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}]","[2008, 2009, 2010, 2011, 2012]",FORD_RANGER_'2009_DURATORQ_DOOR_MIRROR_ELECTRIC_CP_WLED_5_CORD.jpeg,1037
FDMR037 LB,DOOR MIRROR LH ELECTRIC CP W/LED 5 CORD RHD,Ford,DURATORQUE,Mirrors and Windows,Door Mirror,2008,2012,UB9D-69-180,10,10.23334548,13.32950564,0.154298359,177.69,3.0,Front,Right Side,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}, {""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}]","[2008, 2009, 2010, 2011, 2012]",FORD_RANGER_'2009_DURATORQ_DOOR_MIRROR_ELECTRIC_CP_WLED_5_CORD.jpeg,1038
FDMR037 RA,DOOR MIRROR RH ELECTRIC BK W/LED 5 CORD RHD,Ford,DURATORQUE,Mirrors and Windows,Door Mirror,2008,2012,UB9F-69-120,10,10.32112898,14.60617932,0.157195276,208.55,3.0,Front,Right Side,"[{""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}]","[2008, 2009, 2010, 2011, 2012]",FORD_RANGER_'2009_DURATORQ_DOOR_MIRROR_ELECTRIC_CP_WLED_5_CORD.jpeg,1039
FDMR035 RC,DOOR MIRROR RH ELECTRIC BK W/LED LHD,Ford,DURATORQUE,Mirrors and Windows,Door Mirror,2008,2012,UB9F-69-120LHD,1,1.41692575,1.587806391,0.015066974,59.33,3.0,Front,Right Side,"[{""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}, {""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}]","[2008, 2009, 2010, 2011, 2012]",,1040
FDMR035 RB,DOOR MIRROR RH ELECTRIC CP RHD,Ford,DURATORQUE,Mirrors and Windows,Door Mirror,2006,2008,UR57-69-120C,10,11.10893031,13.72605702,0.168891802,253.32,3.0,Front,Right Side,"[{""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}, {""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}, {""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}]","[2006, 2007, 2008]",,1041
FDMR037 RD,DOOR MIRROR RH ELECTRIC CP W/LED 5 CORD LHD,Ford,DURATORQUE,Mirrors and Windows,Door Mirror,2008,2012,UB9D-69-120LHD,10,11.73460487,11.79327024,0.154445369,166.74,3.0,Front,Right Side,"[{""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}]","[2008, 2009, 2010, 2011, 2012]",FORD_RANGER_'2009_DURATORQ_DOOR_MIRROR_ELECTRIC_CP_WLED_5_CORD.jpeg,1042
FDMR037 RB,DOOR MIRROR RH ELECTRIC CP W/LED 5 CORD RHD,Ford,DURATORQUE,Mirrors and Windows,Door Mirror,2008,2012,UB9D-69-120,10,12.96322238,15.26298397,0.160523843,195.23,3.0,Front,Right Side,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}, {""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}, {""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}]","[2008, 2009, 2010, 2011, 2012]",FORD_RANGER_'2009_DURATORQ_DOOR_MIRROR_ELECTRIC_CP_WLED_5_CORD.jpeg,1043
RB-700A FD,DOUBLE ROLLBAR WITH ARMS,Ford,DURATORQUE,Doors and Door Components,Door,2006,2006,0VAB-73HH3-D6,1,14.00510465,11.69663943,0.143834252,388.81,70.0,RearFront,Right SideRight Side,"[{""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}, {""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}]",[2006],FORD_RANGER_'2006-'2009_DURATORQ_DOUBLE_ROLLBAR_WITH_ARMS.jpeg,1044
FDB039 NA,F. BUMPER BK,Ford,DURATORQUE,Bumpers and Grilles,Bumper,2011,2012,UC9P-50-031A,1,3.315254124,3.337534542,0.057666505,138.15,3.0,Front,Single Part,"[{""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}]","[2011, 2012]",FORD_RANGER_1999_F.BUMPER_BK.jpeg,1045
WLVH-15-211,FAN GUARD,Ford,DURATORQUE,Engine and Mechanical Parts,Engine Fan Blade,2006,2007,WLVH-15-211C/211A,1,0.519403989,0.59495124,0.031532486,136.57,1.0,FrontFront,LeftSingle Part,"[{""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}, {""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}]","[2006, 2007]",,1046
FDFF039 SB,FENDER FLARE,Ford,DURATORQUE,Accessories and Ornamental,Fender Flare,2012,2013,V6EC-GKYPH-1N,1,3.931579109,4.005780818,0.170177854,128.58,3.0,Front,Set,"[{""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}]","[2012, 2013]",,1047
UR90-51-W20D9,FENDER FLARE FRONT RH SILVER,Ford,DURATORQUE,Accessories and Ornamental,Fender Flare,2006,2008,UR90-51-W20E92,1,2.060735697,2.611500436,0.045907928,137.92,,Front,Right Side,"[{""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}]","[2006, 2007, 2008]",,1048
UD2G-52-210A,FENDER LH W/F.F & W/O S.L HOLE,Ford,DURATORQUE,Exterior Body Panels,Fender,2008,2009,UD2G-52-210A,1,3.644779649,5.262462166,0.193249106,342.9,,Front,Left Side,"[{""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}]","[2008, 2009]",,1049
UD2D-52-211A,FENDER LH W/O F.F. & S.L HOLE,Ford,DURATORQUE,Exterior Body Panels,Fender,2008,2009,UD2D-52-211A,1,3.389103976,4.853116843,0.221750922,256.8,,Front,Left Side,"[{""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}, {""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}, {""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}]","[2008, 2009]",,1050
UD2G-52-110A,FENDER RH W/F.F HOLE & W/O S.L HOLE,Ford,DURATORQUE,Exterior Body Panels,Fender,2008,2009,UD2G-52-110A,1,3.499302936,5.549821817,0.191684459,319.08,,Front,Right Side,"[{""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}]","[2008, 2009]",,1051
UD2D-52-111A,FENDER RH W/O F.F & S.L HOLE,Ford,DURATORQUE,Exterior Body Panels,Fender,2008,2009,UD2D-52-111A,1,3.388952623,5.280488007,0.21633992,140.73,,Front,Right Side,"[{""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}]","[2008, 2009]",,1052
FDFC037 LA,FOG LAMP COVER LH,Ford,DURATORQUE,Exterior Lighting and Signals,Fog Lamp Base/ Cover,2009,2010,UD2D-50-C21B,30,2.356216511,3.391913852,0.07123756,99.19,3.0,Front,Center,"[{""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}]","[2009, 2010]",,1053
FDFC037 RA,FOG LAMP COVER RH,Ford,DURATORQUE,Exterior Lighting and Signals,Fog Lamp Base/ Cover,2009,2010,UD2D-50-C11B,30,2.418386126,3.571490769,0.079305282,33.67,3.0,Front,Right Side,"[{""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}]","[2009, 2010]",,1054
FDB035 NA,FRONT BUMPER 2WD W/O F.F. HOLE,Ford,DURATORQUE,Bumpers and Grilles,Bumper,2006,2008,URY6-50-03X,1,1.629872075,2.275218943,0.041843413,124.31,3.0,Front,Single Part,"[{""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}]","[2006, 2007, 2008]",FORD_BANTAM_2009-2010_FRONT_BUMPER_W_F.F_HOLE.jpeg,1055
FDB035 NW,FRONT BUMPER 2WD WT A6C/A36/A2W,Ford,DURATORQUE,Bumpers and Grilles,Bumper,2006,2008,URY6-50-03X-WT,1,1.837800416,2.811641324,0.057625583,494.6,3.0,Front,Single Part,"[{""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}, {""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}]","[2006, 2007, 2008]",,1056
FDB035 NB,FRONT BUMPER 4WD W/F.F HOLE,Ford,DURATORQUE,Bumpers and Grilles,Bumper,2006,2008,URY7-50-03X,1,3.62200918,4.065786801,0.04562507,104.49,3.0,Front,Single Part,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}, {""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}]","[2006, 2007, 2008]",FORD_BANTAM_2009-2010_FRONT_BUMPER_W_F.F_HOLE.jpeg,1057
FDB037 NA,FRONT BUMPER W/ FINISHER W/O FLARE HOLE,Ford,DURATORQUE,Bumpers and Grilles,Bumper,2009,2010,UDY1-50-03X/UD2D-50-1T1A,1,3.007199799,3.873598647,0.059149707,216.29,3.0,Front,Single Part,"[{""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}, {""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}]","[2009, 2010]",FORD_RANGER_2018_FRONT_BUMPER_WFINISHER.jpeg,1058
FDFD039 F LA,FRONT DOOR LH,Ford,DURATORQUE,Doors and Door Components,Door,2011,2012,UC9M-59-020,1,16.856697,18.545787,0.162996081,348.52,3.0,Front,Left,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}]","[2011, 2012]",,1059
FDFD039 F RA,FRONT DOOR RH,Ford,DURATORQUE,Doors and Door Components,Door,2011,2012,UC9M-58-020,1,18.56436001,19.11790911,0.157958385,461.16,3.0,Front,Right Side,"[{""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}]","[2011, 2012]",,1060
FDG035 NC,GRILL GYM/BK,Ford,DURATORQUE,Bumpers and Grilles,Grille,2006,2009,UR89-50-710,1,1.597347321,2.79537584,0.027879612,189.49,3.0,Front,Single Part,"[{""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}]","[2006, 2007, 2008, 2009]",,1061
FDG039 NA,GRILLE CP/BK,Ford,DURATORQUE,Bumpers and Grilles,Grille,2011,2012,AB39-8178-AD,1,1.940086105,1.886909796,0.081374841,146.79,3.0,Front,Single Part,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}, {""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}]","[2011, 2012]",FORD_RANGER_2018_GRILLE_CPBK.jpeg,1062
FDG035 NA,GRILLE CP/BK/COLOR KEY SETS,Ford,DURATORQUE,Bumpers and Grilles,Grille,2006,2009,UR89-50-710,1,1.427079404,2.619529937,0.030138368,162.54,3.0,Front,Single Part,"[{""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}, {""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}]","[2006, 2007, 2008, 2009]",,1063
FDG035 NB,GRILLE GYM,Ford,DURATORQUE,Bumpers and Grilles,Grille,2006,2008,UR88-50-710D50,1,1.257703203,2.794129131,0.025260511,166.58,3.0,Front,Single Part,"[{""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}, {""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}, {""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}]","[2006, 2007, 2008]",,1064
FDG037 NB,GRILLE GYM,Ford,DURATORQUE,Bumpers and Grilles,Grille,2009,2010,UD2D-50-710A52,1,1.594964905,2.987308574,0.05817172,63.46,3.0,Front,Single Part,"[{""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}, {""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}, {""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}]","[2009, 2010]",,1065
FDG039 NB,GRILLE GYM/BK,Ford,DURATORQUE,Bumpers and Grilles,Grille,2012,2013,X0ST-QF8K9-N0,1,1.848179518,1.941179453,0.072388719,92.95,3.0,Front,Single Part,"[{""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}, {""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}]","[2012, 2013]",,1066
FDHL035 LA,HEAD LAMP LH,Ford,DURATORQUE,Accessories and Ornamental,Hood Ledge,2006,2007,UR87-51-0L0,8,9.55479363,10.47227642,0.20378952,59.66,3.0,Front,Left,"[{""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}, {""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}]","[2006, 2007]",,1067
